Permutation,Null_Kruskal_Wallis_H
1,2.802531753909534
2,5.416087568065905
3,8.427274333609148
4,12.333304766825677
5,6.268496177067846
6,1.4567518086355449
7,0.8970035065276534
8,0.32306242718459544
9,1.9079710206437994
10,6.735636989224076
11,4.801630190131618
12,7.6242154125720845
13,5.026511791528264
14,2.7808748065058353
15,3.7345609948420133
16,3.1427770892496483
17,3.8077305399533543
18,2.51246778799441
19,3.178790180129454
20,2.463468182523229
21,13.360045859654747
22,1.1737850159552181
23,2.5524977732311527
24,1.5896235444470221
25,2.5064678214848755
26,13.8998240078231
27,8.835429171885153
28,1.2618337266198978
29,9.111784788686236
30,7.179729300904455
31,1.2975292568535224
32,0.7989190493099159
33,3.2308458286106543
34,2.8694094635338843
35,0.7658964426450439
36,3.0194394971990732
37,3.1083611321200806
38,0.7746445432239852
39,4.48772016032035
40,3.6126726054271785
41,1.1899929230244197
42,1.7024282771708386
43,8.364456949973373
44,9.77965936378314
45,0.9295133334953789
46,6.150158092096262
47,4.564405073730086
48,4.51976180840029
49,4.042852598345689
50,4.465320283563415
51,7.9925776800942
52,6.9356294523859106
53,6.4771486268664376
54,4.479811032696489
55,3.1653932118533703
56,4.5705793005922715
57,3.7916065161580264
58,3.6405493047391246
59,6.964576424438292
60,1.0977109584109712
61,1.918810824159209
62,5.396250517323097
63,8.452952653825832
64,4.668607756669644
65,2.4339531262207856
66,2.6786848950068816
67,4.20287561562327
68,2.732851957609455
69,3.559393706928404
70,2.3753267824104114
71,5.153438883954095
72,5.683096825147459
73,0.27540318081901205
74,4.263559721907313
75,1.1431736575232208
76,2.3835576792134816
77,2.29621736641775
78,0.7712522431570505
79,2.292508153351264
80,3.912958407381666
81,1.6095477200974528
82,6.814281174574717
83,4.662213567467916
84,5.514522373357067
85,2.846781591272702
86,7.275696989282096
87,0.1354547804116919
88,4.617773674910495
89,6.1192997495409145
90,5.628693846025726
91,0.3438774159976674
92,4.169710667660638
93,2.369114237248141
94,3.2746756858282424
95,1.0135406670383418
96,3.491691151777104
97,5.751714074679967
98,7.472814550458679
99,5.643619896430209
100,3.241408530933313
101,6.2680705593625134
102,7.36041447405114
103,3.209133228503106
104,5.666128147932795
105,4.982689545802714
106,2.60391943524246
107,4.181412972081034
108,2.108963053660773
109,1.2182451555363514
110,3.280387626672564
111,4.8240634281178245
112,4.533751319836938
113,1.5771848102690456
114,2.215543969823102
115,1.1702037624468176
116,6.4346101482619815
117,6.844698409211105
118,3.590403448663892
119,1.4481306357624817
120,3.5428838712996367
121,2.8291691851595715
122,4.384783081831301
123,0.40487557140386343
124,3.8422318028838163
125,4.23732892014641
126,6.246865606912706
127,9.737296093316218
128,3.936294894643652
129,1.4407869391880013
130,3.445703748252072
131,1.5210521125854939
132,6.011702351724125
133,4.524214774225584
134,5.443677519355788
135,4.226610015781716
136,0.6729216204239492
137,7.680278809933952
138,0.5069036937361489
139,5.517277586719047
140,2.3324647866429586
141,0.6649024539065067
142,2.1352440035398104
143,3.2032213509314715
144,1.5278551077162774
145,3.4371822843841073
146,8.205567460095608
147,0.42374061479449665
148,6.238228280326894
149,4.412082094990183
150,3.4638907654930335
151,4.643465629198545
152,5.690986082759082
153,6.540124495460077
154,3.53340270902072
155,2.891938639579166
156,1.2605806526148626
